name,image_filename
ACDC,acdc.jpg
AK-47,ak_47.jpg
Amnesia Haze,amnesia_haze.jpg
Animal Mints,animal_mints.jpg
Banana Kush,banana_kush.jpg
Biscotti,biscotti.jpg
Blueberry Muffin,blueberry_muffin.jpg
Bruce Banner,bruce_banner.jpg
Bubba Kush,bubba_kush.jpg
Cannatonic,cannatonic.jpg
Dutch Treat,dutch_treat.jpg
Forbidden Fruit,forbidden_fruit.jpg
Ghost Train Haze,ghost_train_haze.jpg
Harlequin,harlequin.jpg
Ice Cream Cake,ice_cream_cake.jpg
Khalifa Kush,khalifa_kush.jpg
Lambs Bread,lambs_bread.jpg
Lemon Cherry Gelato,lemon_cherry_gelato.jpg
Lemon Haze,lemon_haze.jpg
Lemon Tree,lemon_tree.jpg
Maui Wowie,maui_wowie.jpg
Mendo Breath,mendo_breath.jpg
Motorbreath,motorbreath.jpg
Neville's Haze,nevilles_haze.jpg
Oreoz,oreoz.jpg
Pancakes,pancakes.jpg
Permanent Marker,permanent_marker.jpg
Rainbow Belts,rainbow_belts.jpg
RS11,rs11.jpg
Sherb Crasher,sherb_crasher.jpg
Slurricane,slurricane.jpg
Sour Tangie,sour_tangie.jpg
Strawberry Lemonade,strawberry_lemonade.jpg
Sundae Driver,sundae_driver.jpg
Sunset Sherbet,sunset_sherbet.jpg
Wedding Gelato,wedding_gelato.jpg
